n,d2,d3,d4,,n,d2,d3,d4
2,1.128,0.8525,0.954,,21,3.778,0.7242,3.73
3,1.693,0.8884,1.588,,22,3.819,0.7199,3.771
4,2.059,0.8798,1.978,,23,3.858,0.7159,3.811
5,2.326,0.8641,2.257,,24,3.895,0.121,3.847
,,,,,,,,
6,2.534,0.848,2.471,,25,3.931,0.7084,3.883
7,2.704,0.8332,2.645,,30,4.086,0.6927,4.037
8,2.847,0.8198,2.791,,35,4.213,0.6799,4.166
9,2.97,0.8078,2.915,,40,4.322,0.6692,4.274
10,3.078,0.7971,3.024,,45,4.415,0.6601,4.372
,,,,,,,,
11,3.173,0.7873,3.121,,50,4.498,0.6521,4.45
12,3.258,0.7785,3.207,,55,4.572,0.6452,4.521
13,3.336,0.7704,3.285,,60,4.639,0.6389,4.591
14,3.407,0.763,3.356,,65,4.699,0.6333,4.649
15,3.472,0.7562,3.422,,70,4.755,0.6283,4.707
,,,,,,,,
16,3.532,0.7499,3.482,,75,4.806,0.6236,4.757
17,3.588,0.7441,3.538,,80,4.854,0.6194,4.806
18,3.64,0.7386,3.591,,85,4.898,0.6154,4.849
19,3.689,0.7335,3.64,,90,4.939,0.6118,4.892
20,3.735,0.7287,3.686,,100,5.015,0.6052,4.968
